budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
13000000,Nelson Entertainment,USA,Duncan Gibbins,Action,5451119,Eve of Destruction,R,18.01.1991 00:00,Gregory Hines,Duncan Gibbins,1991,0,-0.580683154,-60
6000000,Raffaella Productions,USA,Avi Nesher,Action,64562,Timebomb,R,25.05.1991 00:00,Michael Biehn,Avi Nesher,1991,0,-0.989239667,-100
14000000,Not specified,USA,Arthur Hiller,Comedy,1989059,Married to It,R,26.03.1993 00:00,Beau Bridges,Janet Kovalcik,1991,0,-0.857924357,-90
15000000,Sandollar Productions,USA,Charles Lane,Comedy,4693236,True Identity,R,23.08.1991 00:00,Lenny Henry,Andy Breckman,1991,0,-0.6871176,-70
1200000,Live Entertainment,USA,Quentin Tarantino,Crime,2832029,Reservoir Dogs,R,2.09.1992 00:00,Harvey Keitel,Quentin Tarantino,1992,1,1.360024167,140
40000000,American Zoetrope,USA,Francis Ford Coppola,Horror,82522790,Bram Stoker's Dracula,R,13.11.1992 00:00,Gary Oldman,Bram Stoker,1992,1,1.06306975,110
28000000,Walt Disney Pictures,USA,Ron Clements,Animation,217350219,Aladdin,G,25.11.1992 00:00,Scott Weinger,Ron Clements,1992,1,6.762507821,680
80000000,Warner Bros.,USA,Tim Burton,Action,162831698,Batman Returns,PG-13,19.06.1992 00:00,Michael Keaton,Bob Kane,1992,1,1.035396225,100
49000000,Carolco Pictures,France,Paul Verhoeven,Drama,117727000,Bajos instintos,R,20.03.1992 00:00,Michael Douglas,Joe Eszterhas,1992,1,1.402591837,140
40000000,Morgan Creek Productions,USA,Michael Mann,Action,75505856,The Last of the Mohicans,R,25.09.1992 00:00,Daniel Day-Lewis,James Fenimore Cooper,1992,1,0.8876464,90
14400000,Warner Bros.,USA,Clint Eastwood,Drama,101157447,Unforgiven,R,7.08.1992 00:00,Clint Eastwood,David Webb Peoples,1992,1,6.024822708,600
11000000,Palo Vista Productions,USA,Jonathan Lynn,Comedy,52929168,My Cousin Vinny,R,13.03.1992 00:00,Joe Pesci,Dale Launer,1992,1,3.811742545,380
40000000,Columbia Pictures Corporation,USA,Rob Reiner,Drama,141340178,A Few Good Men,R,11.12.1992 00:00,Tom Cruise,Aaron Sorkin,1992,1,2.53350445,250
10000000,New Line Cinema,USA,David Lynch,Drama,4160851,Twin Peaks: Fire Walk with Me,R,28.08.1992 00:00,Sheryl Lee,David Lynch,1992,0,-0.5839149,-60
50000000,Twentieth Century Fox Film Corporation,USA,David Fincher,Action,55473600,Alien 3,R,22.05.1992 00:00,Sigourney Weaver,Dan O'Bannon,1992,1,0.109472,10
31000000,Touchstone Pictures,USA,Emile Ardolino,Comedy,139610000,Sister Act,PG,29.05.1992 00:00,Whoopi Goldberg,Paul Rudnick,1992,1,3.503548387,350
40000000,Columbia Pictures Corporation,USA,Penny Marshall,Comedy,107533928,A League of Their Own,PG,1.07.1992 00:00,Tom Hanks,Kim Wilson,1992,1,1.6883482,170
55000000,Universal Pictures,USA,Robert Zemeckis,Comedy,58422650,Death Becomes Her,PG-13,31.07.1992 00:00,Meryl Streep,Martin Donovan,1992,1,0.06223,10
31000000,Universal Pictures,USA,Martin Brest,Drama,63895607,Scent of a Woman,R,8.01.1993 00:00,Al Pacino,Giovanni Arpino,1992,1,1.061148613,110
15000000,Touchwood Pacific Partners 1,USA,Kenny Ortega,Drama,2819485,Newsies,PG,10.04.1992 00:00,Christian Bale,Bob Tzudiker,1992,0,-0.812034333,-80
25000000,Kasdan Pictures,USA,Mick Jackson,Action,121945720,The Bodyguard,R,25.11.1992 00:00,Kevin Costner,Lawrence Kasdan,1992,1,3.8778288,390
20000000,Paramount Pictures,USA,Penelope Spheeris,Comedy,121697350,Wayne's World,PG-13,14.02.1992 00:00,Mike Myers,Mike Myers,1992,1,5.0848675,509
10000000,Avnet/Kerner Productions,USA,Stephen Herek,Comedy,50752337,The Mighty Ducks,PG,2.10.1992 00:00,Emilio Estevez,Steven Brill,1992,1,4.0752337,409
11000000,Dino De Laurentiis Company,USA,Sam Raimi,Comedy,11502976,Army of Darkness,R,19.02.1993 00:00,Bruce Campbell,Sam Raimi,1992,1,0.045725091,0
18000000,Twentieth Century Fox Film Corporation,USA,Chris Columbus,Adventure,173585516,Home Alone 2: Lost in New York,PG,20.11.1992 00:00,Macaulay Culkin,John Hughes,1992,1,8.643639778,860
35000000,Warner Bros.,France,Andrew Davis,Action,83363139,Under Siege,R,9.10.1992 00:00,Steven Seagal,J.F. Lawton,1992,1,1.381803971,140
12500000,GGR,USA,James Foley,Crime,10725228,Glengarry Glen Ross,R,2.10.1992 00:00,Al Pacino,David Mamet,1992,0,-0.14198176,-10
3000000,WingNut Films,New Zealand,Peter Jackson,Comedy,242623,Dead Alive,R,12.02.1993 00:00,Timothy Balme,Stephen Sinclair,1992,0,-0.919125667,-90
6000000,PolyGram Filmed Entertainment,USA,Bernard Rose,Horror,25792310,Candyman,R,16.10.1992 00:00,Virginia Madsen,Clive Barker,1992,1,3.298718333,330
45000000,Mace Neufeld Productions,USA,Phillip Noyce,Action,83287363,Patriot Games,R,5.06.1992 00:00,Harrison Ford,Tom Clancy,1992,1,0.850830289,90
24000000,Touchstone Pictures,USA,Thom Eberhardt,Adventure,22518097,Captain Ron,PG-13,18.09.1992 00:00,Kurt Russell,John Dwyer,1992,0,-0.061745958,-10
31000000,Carolco Pictures,UK,Richard Attenborough,Biography,9493259,Chaplin,PG-13,8.01.1993 00:00,Robert Downey Jr.,David Robinson,1992,0,-0.693765839,-70
33000000,Largo International N.V.,USA,Spike Lee,Biography,48169908,Malcolm X,PG-13,18.11.1992 00:00,Denzel Washington,Alex Haley,1992,1,0.459694182,50
15000000,Columbia Pictures Corporation,USA,Mick Garris,Horror,30524763,Sleepwalkers,R,10.04.1992 00:00,Brian Krause,Stephen King,1992,1,1.0349842,100
24000000,FAI Films,Australia,Bill Kroyer,Animation,24650296,FernGully: Las aventuras de Zak y Crysta,G,10.04.1992 00:00,Samantha Mathis,Jim Cox,1992,1,0.027095667,0
5000000,Fifth Avenue Entertainment,USA,Anthony Hickox,Horror,12534961,Hellraiser III: Hell on Earth,R,11.09.1992 00:00,Terry Farrell,Clive Barker,1992,1,1.5069922,150
7000000,Twentieth Century Fox Film Corporation,USA,Fran Rubel Kuzui,Action,16624456,Buffy the Vampire Slayer,PG-13,31.07.1992 00:00,Kristy Swanson,Joss Whedon,1992,1,1.374922286,140
8000000,Paramount Pictures,USA,Mary Lambert,Fantasy,17092453,Pet Sematary II,R,28.08.1992 00:00,Edward Furlong,Richard Outten,1992,1,1.136556625,110
23000000,StudioCanal,USA,Roland Emmerich,Action,36299898,Universal Soldier,R,10.07.1992 00:00,Jean-Claude Van Damme,Richard Rothstein,1992,1,0.578256435,60
7000000,Encino Man Productions,USA,Les Mayfield,Comedy,40693477,Encino Man,PG,22.05.1992 00:00,Sean Astin,George Zaloom,1992,1,4.813353857,480
5000000,Island World,USA,Ernest R. Dickerson,Action,20146880,Juice,R,17.01.1992 00:00,Omar Epps,Ernest R. Dickerson,1992,1,3.029376,300
60000000,Imagine Films Entertainment,USA,Ron Howard,Adventure,58883840,Far and Away,PG-13,22.05.1992 00:00,Tom Cruise,Bob Dolman,1992,0,-0.018602667,0
35000000,Warner Bros.,USA,Richard Donner,Action,144731527,Lethal Weapon 3,R,15.05.1992 00:00,Mel Gibson,Jeffrey Boam,1992,1,3.135186486,310
5000000,Canal+,France,Roman Polanski,Drama,1862805,Luna amarga,R,18.03.1994 00:00,Hugh Grant,Pascal Bruckner,1992,0,-0.627439,-60
10000000,Allied Vision,UK,Brett Leonard,Horror,32101000,The Lawnmower Man,R,6.03.1992 00:00,Jeff Fahey,Stephen King,1992,1,2.2101,220
3000000,New Line Cinema,USA,Katt Shea,Drama,1829804,Poison Ivy,R,8.05.1992 00:00,Drew Barrymore,Melissa Goddard,1992,0,-0.390065333,-40
11700000,Hollywood Pictures,USA,Curtis Hanson,Drama,88036683,The Hand That Rocks the Cradle,R,10.01.1992 00:00,Annabella Sciorra,Amanda Silver,1992,1,6.524502821,650
16000000,Columbia Pictures Corporation,USA,Barbet Schroeder,Drama,47922919,Single White Female,R,14.08.1992 00:00,Bridget Fonda,John Lutz,1992,1,1.995182438,200
1000000,Bad Lt. Productions,USA,Abel Ferrara,Crime,2000022,Bad Lieutenant,NC-17,17.12.1992 00:00,Harvey Keitel,Zoë Lund,1992,1,1.000022,100
6500000,Touchstone Pictures,USA,Jon Turteltaub,Action,29000301,3 Ninjas,PG,7.08.1992 00:00,Victor Wong,Kenny Kim,1992,1,3.461584769,350
35000000,Universal Pictures,USA,Phil Alden Robinson,Comedy,51433000,Sneakers,PG-13,11.09.1992 00:00,Robert Redford,Phil Alden Robinson,1992,1,0.469514286,50
40000000,Paramount Pictures,USA,Reginald Hudlin,Comedy,70100000,Boomerang,R,1.07.1992 00:00,Eddie Murphy,Eddie Murphy,1992,1,0.7525,80
8000000,Avenue Pictures,USA,Robert Altman,Comedy,21706100,The Player,R,8.05.1992 00:00,Tim Robbins,Michael Tolkin,1992,1,1.7132625,170
43000000,Baltimore Pictures,USA,Barry Levinson,Adventure,21452082,Toys,PG-13,18.12.1992 00:00,Robin Williams,Valerie Curtin,1992,0,-0.501114372,-50
47000000,Gaumont,France,Ridley Scott,Adventure,7191399,1492: Conquista del Paraíso,PG-13,9.10.1992 00:00,Gérard Depardieu,Rose Bosch,1992,0,-0.846991511,-80
35000000,Twentieth Century Fox Film Corporation,USA,Danny DeVito,Biography,24276500,Hoffa,R,25.12.1992 00:00,Jack Nicholson,David Mamet,1992,0,-0.306385714,-30
15000000,Warner Bros.,USA,Kevin Hooks,Action,44065653,Passenger 57,R,6.11.1992 00:00,Wesley Snipes,Stewart Raffill,1992,1,1.9377102,190
2000000,Arau Films Internacional,Mexico,Alfonso Arau,Drama,21665500,Como agua para chocolate,R,28.05.1993 00:00,Marco Leonardi,Laura Esquivel,1992,1,9.83275,980
7000,Columbia Pictures Corporation,USA,Robert Rodriguez,Action,2040920,El Mariachi,R,26.02.1993 00:00,Carlos Gallardo,Robert Rodriguez,1992,1,290.56,29060
16000000,Olmos Productions,USA,Edward James Olmos,Biography,13086430,American Me,R,13.03.1992 00:00,Edward James Olmos,Floyd Mutrux,1992,0,-0.182098125,-20
30000000,Paramount Pictures,USA,Ralph Bakshi,Animation,14110600,Cool World,PG-13,10.07.1992 00:00,Gabriel Byrne,Michael Grais,1992,0,-0.529646667,-50
40000000,Touchwood Pacific Partners 1,USA,Randal Kleiser,Adventure,58662452,Honey I Blew Up the Kid,PG,17.07.1992 00:00,Rick Moranis,Stuart Gordon,1992,1,0.4665613,50
4000000,Adventure Pictures,UK,Sally Potter,Biography,5289772,Orlando,PG-13,9.06.1993 00:00,Tilda Swinton,Sally Potter,1992,1,0.322443,30
35000000,Columbia Pictures Corporation,USA,Richard Donner,Drama,4651977,Radio Flyer,PG-13,21.02.1992 00:00,Lorraine Bracco,David Mickey Evans,1992,0,-0.867086371,-90
8000000,Davis Entertainment,Australia,Stuart Gordon,Action,6739141,Fortress,R,3.09.1993 00:00,Christopher Lambert,Troy Neighbors,1992,0,-0.157607375,-20
14000000,Cinema Plus,USA,Greg Beeman,Adventure,2034470,Mom and Dad Save the World,PG,24.07.1992 00:00,Teri Garr,Chris Matheson,1992,0,-0.854680714,-90
12000000,Pacific Western,USA,Brian De Palma,Crime,21370057,Raising Cain,R,7.08.1992 00:00,John Lithgow,Brian De Palma,1992,1,0.780838083,80
3500000,Turner Pictures (I),USA,Phil Roman,Animation,3560469,The Tom and Jerry Movie,G,30.07.1993 00:00,Richard Kind,Dennis Marks,1992,1,0.017276857,0
40000000,Hollywood Pictures,USA,John McTiernan,Adventure,45500797,Medicine Man,PG-13,7.02.1992 00:00,Sean Connery,Tom Schulman,1992,1,0.137519925,10
30000000,Universal Pictures,USA,George Miller,Drama,7286388,Lorenzo's Oil,PG-13,29.01.1993 00:00,Nick Nolte,George Miller,1992,0,-0.7571204,-80
7000000,Challenge Film Corporation,UK,Tony Maylam,Action,5430822,Split Second,R,1.05.1992 00:00,Rutger Hauer,Gary Scott Thompson,1992,0,-0.224168286,-20
18000000,Hollywood Pictures,USA,Alan J. Pakula,Crime,21591728,Consenting Adults,R,16.10.1992 00:00,Kevin Kline,Matthew Chapman,1992,1,0.199540444,20
10000000,Twentieth Century Fox Film Corporation,USA,Dwight H. Little,Action,14356479,Rapid Fire,R,21.08.1992 00:00,Brandon Lee,Cindy Cirile,1992,1,0.4356479,40
12000000,Touchstone Pictures,USA,Peter Bogdanovich,Comedy,2280148,Noises Off...,PG-13,20.03.1992 00:00,Michael Caine,Michael Frayn,1992,0,-0.809987667,-80
42000000,Columbia Pictures Corporation,USA,Stephen Frears,Comedy,19507345,Hero,PG-13,2.10.1992 00:00,Dustin Hoffman,Laura Ziskin,1992,0,-0.535539405,-50
27000000,Allied Filmmakers,France,Roland Joffé,Drama,14683921,City of Joy,PG-13,17.04.1992 00:00,Patrick Swayze,Dominique Lapierre,1992,0,-0.456151074,-50
900000,Golden Harvest Company,Hong Kong,Stanley Tong,Action,16270600,Supercop,R,26.07.1996 00:00,Jackie Chan,Edward Tang,1992,1,17.07844444,1710
15000000,TriStar Pictures,USA,Michael Apted,Crime,22660758,Thunderheart,R,3.04.1992 00:00,Val Kilmer,John Fusco,1992,1,0.5107172,50
25000000,Castle Rock Entertainment,USA,Andrew Bergman,Comedy,35208854,Honeymoon in Vegas,PG-13,28.08.1992 00:00,James Caan,Andrew Bergman,1992,1,0.40835416,40
12000000,Walt Disney Pictures,USA,Brian Henson,Comedy,27281507,The Muppet Christmas Carol,G,11.12.1992 00:00,Michael Caine,Charles Dickens,1992,1,1.273458917,130
900000,Corn Cobb Productions,USA,David Price,Horror,6980986,Children of the Corn II: The Final Sacrifice,R,29.01.1993 00:00,Terence Knox,Stephen King,1992,1,6.756651111,680
45000000,Northern Lights Entertainment,USA,Roger Spottiswoode,Action,28411210,Stop! Or My Mom Will Shoot,PG-13,21.02.1992 00:00,Sylvester Stallone,Blake Snyder,1992,0,-0.368639778,-40
5000000,British Broadcasting Corporation (BBC),UK,Kenneth Branagh,Comedy,4058564,Peter's Friends,R,25.12.1992 00:00,Hugh Laurie,Rita Rudner,1992,0,-0.1882872,-20
14000000,Universal Pictures,USA,Walter Hill,Action,13747138,Trespass,R,25.12.1992 00:00,Bill Paxton,Bob Gale,1992,0,-0.018061571,0
20000000,TriStar Pictures,USA,Woody Allen,Comedy,10555619,Husbands and Wives,R,18.09.1992 00:00,Woody Allen,Woody Allen,1992,0,-0.47221905,-50
20000000,Paramount Pictures,USA,Bruce Robinson,Crime,11390479,Jennifer 8,R,6.11.1992 00:00,Andy Garcia,Bruce Robinson,1992,0,-0.43047605,-40
40000000,Warner Bros.,USA,John Carpenter,Comedy,14358033,Memoirs of an Invisible Man,PG-13,28.02.1992 00:00,Chevy Chase,H.F. Saint,1992,0,-0.641049175,-60
15000000,Columbia Pictures Corporation,USA,Peter MacDonald,Action,40227000,Mo' Money,R,24.07.1992 00:00,Damon Wayans,Damon Wayans,1992,1,1.6818,170
7500000,Warner Bros.,USA,Randall Miller,Comedy,13272113,Class Act,PG-13,5.06.1992 00:00,Christopher Reid,Michael Swerdlick,1992,1,0.769615067,80
4000000,Enchantment Films Inc.,USA,Stephen Milburn Anderson,Crime,1373196,South Central,R,18.09.1992 00:00,Byron Minns,Stephen Milburn Anderson,1992,0,-0.656701,-70
32000000,Warner Bros.,USA,Phil Joanou,Drama,28590665,Final Analysis,R,7.02.1992 00:00,Richard Gere,Robert Berger,1992,0,-0.106541719,-10
15500000,Alcor Films,France,Arne Glimcher,Drama,6742168,The Mambo Kings,R,28.02.1992 00:00,Armand Assante,Oscar Hijuelos,1992,0,-0.565021419,-60
30000000,Morgan Creek Productions,USA,Geoff Murphy,Action,17129000,Freejack,R,17.01.1992 00:00,Emilio Estevez,Robert Sheckley,1992,0,-0.429033333,-40
50000000,Hollywood Pictures,USA,Jonathan Lynn,Comedy,46666502,The Distinguished Gentleman,R,4.12.1992 00:00,Eddie Murphy,Marty Kaplan,1992,0,-0.06666996,-10
40000000,Christopher Columbus Productions,UK,John Glen,Adventure,8251071,Christopher Columbus: The Discovery,PG-13,21.08.1992 00:00,Marlon Brando,Mario Puzo,1992,0,-0.793723225,-80
10000000,Dimension Films,Hong Kong,Ringo Lam,Action,8332431,Twin Dragons,PG-13,9.04.1999 00:00,Jackie Chan,Barry Wong,1992,0,-0.1667569,-20
17000000,Metro-Goldwyn-Mayer (MGM),USA,Michael Ritchie,Drama,4836637,Diggstown,R,14.08.1992 00:00,James Woods,Leonard Wise,1992,0,-0.715491941,-70
5000000,A&M; Films,USA,Keith Gordon,Drama,1526697,A Midnight Clear,R,24.04.1992 00:00,Peter Berg,William Wharton,1992,0,-0.6946606,-70
29000000,American Zoetrope,USA,Carroll Ballard,Action,5519569,Wind,PG-13,11.09.1992 00:00,Matthew Modine,Jeff Benjamin,1992,0,-0.809670034,-80
18000000,Orion Pictures,USA,Jonathan Kaplan,Drama,1949148,Love Field,PG-13,12.02.1993 00:00,Michelle Pfeiffer,Don Roos,1992,0,-0.891714,-90
40000000,DENTSU Music And Entertainment,USA,Fred Schepisi,Comedy,20883046,Mr. Baseball,PG-13,2.10.1992 00:00,Tom Selleck,Theo Pelletier,1992,0,-0.47792385,-50
20000000,Penta Films,USA,Irwin Winkler,Comedy,6202756,Night and the City,R,23.10.1992 00:00,Robert De Niro,Gerald Kersh,1992,0,-0.6898622,-70
10000000,British Screen Productions,UK,Stephen Gyllenhaal,Drama,1034287,Waterland,R,30.10.1992 00:00,Jeremy Irons,Graham Swift,1992,0,-0.8965713,-90
5000000,Carolco Pictures,USA,Paul Schrader,Crime,1050861,Light Sleeper,R,13.03.1992 00:00,Willem Dafoe,Paul Schrader,1992,0,-0.7898278,-80
43000000,Castle Rock Entertainment,USA,Billy Crystal,Comedy,13351357,Mr. Saturday Night,R,25.09.1992 00:00,Billy Crystal,Billy Crystal,1992,0,-0.689503326,-70
30000000,Penta Entertainment,USA,Bob Rafelson,Comedy,4096030,Man Trouble,PG-13,17.07.1992 00:00,Jack Nicholson,Carole Eastman,1992,0,-0.863465667,-90
10000000,Avenue Pictures,USA,Martin Bell,Crime,384048,American Heart,R,7.05.1993 00:00,Jeff Bridges,Peter Silverman,1992,0,-0.9615952,-100
2700000,No Frills Film Production,USA,Neal Jimenez,Drama,1723319,The Waterdance,R,13.05.1992 00:00,Eric Stoltz,Neal Jimenez,1992,0,-0.361733704,-40
3330000,Atchafalaya,USA,John Sayles,Drama,5414619,Passion Fish,R,11.12.1992 00:00,Mary McDonnell,John Sayles,1992,1,0.626011712,60
18000000,Orion Pictures,USA,Howard Deutch,Drama,6375979,Article 99,R,13.03.1992 00:00,Ray Liotta,Ron Cutler,1992,0,-0.645778944,-60
3000000,American Playhouse,Italy,Hal Hartley,Crime,141554,Simple Men,R,6.11.1992 00:00,Robert John Burke,Hal Hartley,1992,0,-0.952815333,-100
800000,Zeta Entertainment,USA,Tamra Davis,Crime,114516,Guncrazy,R,9.09.1993 00:00,Drew Barrymore,Matthew Bright,1992,0,-0.856855,-90
18000000,Paramount Pictures,USA,Christopher Crowe,Drama,11124511,Whispers in the Dark,R,7.08.1992 00:00,Annabella Sciorra,Christopher Crowe,1992,0,-0.381971611,-40
400000,Ang Lee Productions,Taiwan,Ang Lee,Comedy,152322,Pushing Hands,NOT RATED,20.01.1996 00:00,Bozhao Wang,Ang Lee,1992,0,-0.619195,-60
3000000,Once Upon a Time Films,USA,Matthew Meshekoff,Comedy,690966,The Opposite Sex and How to Live with Them,R,26.03.1993 00:00,Arye Gross,Noah Stern,1992,0,-0.769678,-80
18000000,Metro-Goldwyn-Mayer (MGM),USA,Bruce Beresford,Drama,2149735,Rich in Love,PG-13,5.03.1993 00:00,Albert Finney,Josephine Humphreys,1992,0,-0.880570278,-90
22769,Desperate Pictures,USA,Gregg Araki,Comedy,692585,The Living End,UNRATED,21.08.1992 00:00,Mike Dytri,Gregg Araki,1992,1,29.41789275,2940
24000000,Majestic Films International,USA,Graeme Clifford,Mystery,608866,Ruby Cairo,PG-13,29.10.1993 00:00,Andie MacDowell,Robert Dillon,1992,0,-0.974630583,-100
13000000,In The Bag Productions,USA,Allan Moyle,Comedy,3721911,The Gun in Betty Lou's Handbag,PG-13,21.08.1992 00:00,Penelope Ann Miller,Grace Cary Bickley,1992,0,-0.713699154,-70
16000000,JVC Entertainment Networks,USA,Beeban Kidron,Comedy,17957265,Used People,PG-13,22.01.1993 00:00,Shirley MacLaine,Todd Graff,1992,1,0.122329063,10
130000,Demi-Monde Productions,USA,Nicole Conn,Drama,799674,Claire of the Moon,UNRATED,21.10.1993 00:00,Trisha Todd,Nicole Conn,1992,1,5.151338462,520
250000,American Playhouse,USA,Tom Kalin,Crime,340147,Swoon,UNRATED,25.09.1992 00:00,Daniel Schlachet,Tom Kalin,1992,1,0.360588,40
38000,Island World,USA,Nick Gomez,Crime,117480,Laws of Gravity,R,20.08.1993 00:00,Peter Greene,Nick Gomez,1992,1,2.091578947,210
28000000,Rhythm & Hues Studios,USA,Kenny Ortega,Comedy,39514713,Hocus Pocus,PG,16.07.1993 00:00,Bette Midler,David Kirschner,1993,1,0.41123975,40
25000000,Hollywood Pictures,USA,George P. Cosmatos,Action,56505065,Tombstone,R,25.12.1993 00:00,Kurt Russell,Kevin Jarre,1993,1,1.2602026,130
22000000,Universal Pictures,USA,Steven Spielberg,Biography,96067179,Schindler's List,R,4.02.1994 00:00,Liam Neeson,Thomas Keneally,1993,1,3.366689955,340
63000000,Universal Pictures,USA,Steven Spielberg,Adventure,402453882,Jurassic Park,PG-13,11.06.1993 00:00,Sam Neill,Michael Crichton,1993,1,5.388156857,540
18000000,Touchstone Pictures,USA,Henry Selick,Animation,75082668,The Nightmare Before Christmas,PG,29.10.1993 00:00,Danny Elfman,Tim Burton,1993,1,3.171259333,320
6900000,Gramercy Pictures (I),USA,Richard Linklater,Comedy,7993039,Dazed and Confused,R,10.02.1994 00:00,Jason London,Richard Linklater,1993,1,0.158411449,20
25000000,Alcor Films,France,Joel Schumacher,Crime,40903593,Un día de furia,R,26.02.1993 00:00,Michael Douglas,Ebbe Roe Smith,1993,1,0.63614372,60
42000000,Davis Entertainment,USA,Sydney Pollack,Drama,158348367,The Firm,R,30.06.1993 00:00,Tom Cruise,John Grisham,1993,1,2.770199214,280
13000000,Morgan Creek Productions,USA,Tony Scott,Crime,12281500,True Romance,R,10.09.1993 00:00,Christian Slater,Quentin Tarantino,1993,0,-0.055269231,-10
75000000,Paramount Pictures,USA,Barry Sonnenfeld,Comedy,48919043,Addams Family Values,PG-13,19.11.1993 00:00,Anjelica Huston,Charles Addams,1993,0,-0.347746093,-30
22000000,Price Entertainment,USA,Robert De Niro,Crime,17266971,A Bronx Tale,R,1.10.1993 00:00,Robert De Niro,Chazz Palminteri,1993,0,-0.215137682,-20
11000000,Paramount Pictures,USA,Lasse Hallström,Drama,9170214,What's Eating Gilbert Grape,PG-13,4.03.1994 00:00,Johnny Depp,Peter Hedges,1993,0,-0.166344182,-20
14600000,Columbia Pictures Corporation,USA,Harold Ramis,Comedy,70906973,Groundhog Day,PG,12.02.1993 00:00,Bill Murray,Danny Rubin,1993,1,3.856641986,390
20000000,Brooksfilms,France,Mel Brooks,Adventure,35739755,Robin Hood: Men in Tights,PG-13,28.07.1993 00:00,Cary Elwes,J.D. Shapiro,1993,1,0.78698775,80
25000000,Twentieth Century Fox Film Corporation,USA,Chris Columbus,Comedy,219200000,Mrs. Doubtfire,PG-13,24.11.1993 00:00,Robin Williams,Anne Fine,1993,1,7.768,780
21000000,TriStar Pictures,USA,Nora Ephron,Comedy,126533006,Sleepless in Seattle,PG,25.06.1993 00:00,Tom Hanks,Jeff Arch,1993,1,5.025381238,500
85000000,Columbia Pictures Corporation,USA,John McTiernan,Action,50016394,Last Action Hero,PG-13,18.06.1993 00:00,Arnold Schwarzenegger,Zak Penn,1993,0,-0.411571835,-40
35000000,Hollywood Pictures,USA,Taylor Hackford,Crime,4496583,"Blood In, Blood Out",R,30.04.1993 00:00,Damian Chapa,Ross Thomas,1993,0,-0.8715262,-90
70000000,Carolco Pictures,USA,Renny Harlin,Action,84049211,Cliffhanger,R,28.05.1993 00:00,Sylvester Stallone,John Long,1993,1,0.200703014,20
44000000,Warner Bros.,USA,Andrew Davis,Action,183875760,The Fugitive,PG-13,6.08.1993 00:00,Harrison Ford,Jeb Stuart,1993,1,3.178994545,320
20000000,Warner Bros.,USA,Simon Wincer,Adventure,77698625,Free Willy,PG,16.07.1993 00:00,Jason James Richter,Keith Walker,1993,1,2.88493125,290
38000000,Paramount Pictures,USA,Adrian Lyne,Drama,106614100,Indecent Proposal,R,7.04.1993 00:00,Robert Redford,Jack Engelhard,1993,1,1.805634211,180
26000000,TriStar Pictures,USA,Jonathan Demme,Drama,77324422,Philadelphia,PG-13,14.01.1994 00:00,Tom Hanks,Ron Nyswaner,1993,1,1.974016231,200
7000000,CiBy 2000,New Zealand,Jane Campion,Drama,40158000,El piano,R,11.02.1994 00:00,Holly Hunter,Jane Campion,1993,1,4.736857143,470
30000000,Universal Pictures,USA,Brian De Palma,Crime,36948322,Carlito's Way,R,12.11.1993 00:00,Al Pacino,Edwin Torres,1993,1,0.231610733,20
38000000,Touchstone Pictures,USA,Bill Duke,Comedy,57319029,Sister Act 2: Back in the Habit,PG,10.12.1993 00:00,Whoopi Goldberg,Paul Rudnick,1993,1,0.5083955,50
57000000,Warner Bros.,USA,Marco Brambilla,Action,58055768,Demolition Man,R,8.10.1993 00:00,Sylvester Stallone,Peter M. Lenkov,1993,1,0.018522246,0
42000000,Allied Filmmakers,UK,Annabel Jankel,Adventure,20915465,Super Mario Bros.,PG,28.05.1993 00:00,Bob Hoskins,Parker Bennett,1993,0,-0.502012738,-50
30000000,Walt Disney Pictures,Austria,Stephen Herek,Action,53898845,The Three Musketeers,PG,12.11.1993 00:00,Charlie Sheen,Alexandre Dumas,1993,1,0.796628167,80
13000000,Hell's Kitchen Films,Ireland,Jim Sheridan,Biography,25010410,En el nombre del padre,R,25.02.1994 00:00,Daniel Day-Lewis,Gerry Conlon,1993,1,0.923877692,90
40000000,Paramount Pictures,USA,Phillip Noyce,Drama,36300000,Sliver,R,21.05.1993 00:00,Sharon Stone,Ira Levin,1993,0,-0.0925,-10
32000000,Film Andes S.A.,USA,Frank Marshall,Adventure,36733909,Alive,R,15.01.1993 00:00,Ethan Hawke,Piers Paul Read,1993,1,0.147934656,10
30000000,Columbia Pictures Corporation,USA,Martin Scorsese,Drama,32200000,The Age of Innocence,PG,1.10.1993 00:00,Daniel Day-Lewis,Edith Wharton,1993,1,0.073333333,10
17000000,Twentieth Century Fox Film Corporation,USA,Joseph Ruben,Drama,44594000,The Good Son,R,24.09.1993 00:00,Macaulay Culkin,Ian McEwan,1993,1,1.623176471,160
15000000,Walt Disney Pictures,USA,Jon Turteltaub,Adventure,68856263,Cool Runnings,PG,1.10.1993 00:00,John Candy,Lynn Siefert,1993,1,3.590417533,360
11000000,Renaissance Films,UK,Kenneth Branagh,Comedy,22551000,Much Ado About Nothing,PG-13,2.07.1993 00:00,Kenneth Branagh,William Shakespeare,1993,1,1.050090909,110
15000000,Touchstone Pictures,USA,David S. Ward,Action,23004026,The Program,R,24.09.1993 00:00,James Caan,David S. Ward,1993,1,0.533601733,50
14000000,Raffaella De Laurentiis Productions,USA,Rob Cohen,Action,35112679,Dragon: The Bruce Lee Story,PG-13,7.05.1993 00:00,Jason Scott Lee,Robert Clouse,1993,1,1.5080485,150
