,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
2643,150000000,Other,USA,Other,Animation,119436770,G-Force,PG,24.07.2009 00:00,88,5.1,Will Arnett,35516,Cormac Wibberley,2009,0,-0.203754867,-20,FALSE,19585,tt0436339,G-Force,"A team of trained secret agent animals, guinea pigs Darwin, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",9.163791,The world needs bigger heroes,G-Force,"Fantasy, Action, Adventure, Family, Comedy",en,US,"dyr, duringcreditsstinger",2009
2644,18000000,Universal Pictures,USA,Other,Drama,22927390,Love Happens,PG-13,18.09.2009 00:00,100,5.6,Jennifer Aniston,27008,Brandon Camp,2009,1,0.273743889,30,FALSE,25643,tt0899106,Love Happens,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",10.279603,Sometimes when you least expect it...,Love Happens,"Drama, Romance",en,"CA, GB, US","hotel, florist, forest, grief, seminar, motivational speaker",2009
2645,40000000,Warner Bros.,USA,Other,Comedy,20916309,Shorts,PG,21.08.2009 00:00,89,4.8,Jimmy Bennett,5645,Robert Rodriguez,2009,0,-0.477092275,-50,FALSE,25132,tt1100119,Shorts,"A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.",4.021983,Not So TALL Tales From The Director Of 'Spy Kids',Shorts,"Comedy, Family",en,"AE, US",,2009
2646,19000000,Other,USA,Other,Crime,454149,Crossing Over,R,24.07.2009 00:00,113,6.8,Harrison Ford,20514,Wayne Kramer,2009,0,-0.976097421,-100,FALSE,15577,tt0924129,Crossing Over,"Immigrants from around the world enter Los Angeles every day, with hopeful visions of a better life, but little notion of what that life may cost. Their desperate scenarios test the humanity of immigration enforcement officers. In Crossing Over, writer-director Wayne Kramer explores the allure of the American dream, and the reality that immigrants find – and create -- in 21st century L.A.",6.036408,Every day thousands of people illegally cross our borders... only one thing stands in their way. America.,Crossing Over,"Crime, Drama",en,US,"immigrant, los angeles",2009
2647,5000000,Other,USA,Other,Drama,1474508,The Joneses,R,23.04.2010 00:00,96,6.5,Demi Moore,35116,Randy T. Dinzler,2009,0,-0.7050984,-70,FALSE,41479,tt1285309,The Joneses,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",6.632194,"They're not just living the American dream, they're selling it.",The Joneses,"Comedy, Drama","cs, en, fr",US,"independent film, duringcreditsstinger",2010
2648,70000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Adventure,35922978,The Pink Panther 2,PG,6.02.2009 00:00,92,5.6,Steve Martin,35845,Scott Neustadter,2009,0,-0.4868146,-50,FALSE,15159,tt0838232,The Pink Panther 2,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",18.54675,Inspect the unexpected.,The Pink Panther 2,"Comedy, Mystery",en,US,"diamond, clouseau, pink panther",2009
2649,65000000,Other,Other,Other,Animation,19548064,Astro Boy,PG,23.10.2009 00:00,94,6.3,Freddie Highmore,27771,Osamu Tezuka,2009,0,-0.699260554,-70,FALSE,16577,tt0375568,Astro Boy,"Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.",13.293466,Have a blast.,Astro Boy,"Animation, Action, Family, Science Fiction",en,"HK, JP, US",superhero,2009
2650,58000000,Columbia Pictures,USA,Other,Comedy,29580087,Did You Hear About the Morgans?,PG-13,18.12.2009 00:00,100,4.8,Hugh Grant,31604,Marc Lawrence,2009,0,-0.4899985,-50,FALSE,24438,tt1314228,Did You Hear About the Morgans?,"In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.",7.323405,We're not in Manhattan anymore.,Did You Hear About the Morgans?,Comedy,"en, it, ru, es, uk",US,"witness protection, comedy, duringcreditsstinger",2009
2651,23000000,Other,Other,Other,Comedy,2708188,Chéri,R,17.07.2009 00:00,100,6.2,Michelle Pfeiffer,9380,Christopher Hampton,2009,0,-0.882252696,-90,FALSE,22215,tt1179258,Chéri,"A sumptuous dramatic comedy set in late 19th Century France, during the Belle Epoque, a period of social and cultural excess in European upper classes which ended only as the First World War erupted.",4.164362,,Cheri,"Drama, Comedy, Romance","en, fr, it, la","DE, GB, FR",,2009
2652,22000000,Other,USA,Renny Harlin,Action,12232937,12 Rounds,PG-13,27.03.2009 00:00,108,5.6,John Cena,24250,Daniel Kunka,2009,0,-0.443957409,-40,FALSE,17134,tt1160368,12 Rounds,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",13.591485,Survive all 12,12 Rounds,"Action, Adventure, Drama, Thriller","cs, en",US,"police, cops, cat and mouse, family, revenge drama",2009
