,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
0,40000000,Universal Pictures,Other,Other,Comedy,59696144,Love Actually,R,14.11.2003 00:00,135,7.7,Hugh Grant,346409,Richard Curtis,2003,1,0.4924036,50,FALSE,508,tt0314331,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,10.586815,The ultimate romantic comedy.,Love Actually,"Comedy, Romance, Drama","en, fr, pt","GB, US","london england, male nudity, female nudity, love at first sight, usa president, marseille, office, christmas party, marriage proposal, bars and restaurants, press conference, language barrier, prime minister, rock star, tv show, metal detector, war on terror, school performance, multiple storylines",2003,0.11891015967460404,2.111208780038884,1.7241333347823344,3.2618216362482344,0.3778635369661008
1,25000000,Warner Bros.,USA,Clint Eastwood,Crime,90135191,Mystic River,R,15.10.2003 00:00,138,8.0,Sean Penn,361466,Brian Helgeland,2003,1,2.60540764,260,FALSE,322,tt0327056,Mystic River,"A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present.",12.602438,"We bury our sins, we wash them clean.",Mystic River,"Thriller, Crime, Drama, Mystery",en,US,"child abuse, sexual abuse, loss of child, repayment, suppressed past, arbitrary law, boston, workers' quarter, reference to sprite, child",2003,-0.4195424521648901,2.3297630220557575,2.107577467834605,3.4538194759453043,0.9717505041909225
2,1500000,Fox Searchlight Pictures,USA,Other,Drama,4599680,Thirteen,R,19.09.2003 00:00,100,6.8,Evan Rachel Wood,72230,Catherine Hardwicke,2003,1,2.066453333,210,FALSE,11023,tt0328538,Thirteen,"Tracy is a normal 13-year-old trying to make it in school. After befriending the most popular girl at school, Evie, Tracy's world is turned upside down when Evie introduces her to a world of sex, drugs and cash. But it isn't long before Tracy's new world and attitude finally takes a toll on her, her family, and old friends.",14.379879,It's happening so fast.,Thirteen,"Crime, Drama","en, pt, es",US,"cheating, dysfunctional family, teen angst, underage drinking, domestic violence, makeover, drug overdose, teacher student relationship, street life, movie theater, razor blade, tattoo shop, peer pressure, shoe store, overachiever, reference to jack black, flunking out of school, promiscuous mother, glue sniffing, woman director",2003,-1.2631182107134309,-0.4385907101579708,0.5738009356255227,-0.23434464457151183,1.4954590771289447
3,12600000,Summit Entertainment,USA,Other,Horror,15417771,Wrong Turn,R,30.05.2003 00:00,84,6.1,Eliza Dushku,93636,Alan B. McElroy,2003,1,0.223632619,20,FALSE,9902,tt0295700,Wrong Turn,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",14.079718,It's the last one you'll ever take.,Wrong Turn,"Horror, Thriller",en,"DE, US","life and death, death of a friend, parts of dead body",2003,-0.8646632779522052,-1.6042133342479616,-0.32090204149644197,0.03861183789879948,1.4070190732347787
4,20000000,Walt Disney Pictures,USA,Other,Adventure,67406573,Holes,PG,18.04.2003 00:00,117,7.1,Shia LaBeouf,63052,Louis Sachar,2003,1,2.37032865,240,FALSE,8326,tt0311289,Holes,"Stanley's family is cursed with bad luck. Unfairly sentenced to months of detention at Camp Green Lake, he and his campmates are forced by the warden to dig holes in order to build character. What they don't know is that they are digging holes in order to search for a lost treasure hidden somewhere in the camp.",17.193267,Some secrets are too big to keep hidden.,Holes,"Adventure, Family, Drama, Comedy",en,US,"curse, suitor, false accusations, reference to annabel lee, digging, baseball player, mountain climbing",2003,-0.5990266561113882,0.7998833279376444,0.9572450686777929,-0.35137699980427445,2.3244010305332794
5,70000000,Columbia Pictures Corporation,USA,Tim Burton,Adventure,66257002,Big Fish,PG-13,9.01.2004 00:00,125,8.0,Ewan McGregor,369336,Daniel Wallace,2003,0,-0.0534714,-10,FALSE,587,tt0319061,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",14.739983,An adventure as big as life itself.,Big Fish,"Adventure, Fantasy, Drama",en,US,"circus, father son relationship, witch, fish, fishing, love of one's life, leech, story teller, apoplectic stroke, fair, mermaid, cancer, relationship, youth, gentle giant",2004,1.1958153833535923,1.3826946399826399,2.107577467834605,3.5541729991183093,1.601560799745489
6,78000000,Other,USA,Other,Action,431881,Daredevil,PG-13,14.02.2003 00:00,103,5.3,Ben Affleck,185444,Mark Steven Johnson,2003,0,-0.994463064,-100,FALSE,9480,tt0287978,Daredevil,"He dwells in a world of eternal night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",11.415558,A Guardian Devil,Daredevil,"Fantasy, Action, Crime, Science Fiction, Thriller","en, it, el",US,"blindness and impaired vision, narration, marvel comic, superhero, daredevil, hazardous waste, mob hit, duringcreditsstinger",2003,1.4829901096679892,-0.22003646814109756,-1.3434197296358297,1.2092924294448306,0.6220459395675799
7,35000000,Paramount Pictures,USA,Richard Linklater,Comedy,81261177,School of Rock,PG-13,3.10.2003 00:00,108,7.1,Jack Black,224330,Mike White,2003,1,1.321747914,130,FALSE,1584,tt0332379,School of Rock,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fourth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",17.95142,He just landed the gig of his life: 5th grade.,School of Rock,"Comedy, Music",en,"DE, US","rock and roll, rock, high school, music band",2003,-0.060574044271894,0.14422060188702457,0.9572450686777929,1.7051433954048663,2.547784662225516
8,30000000,Columbia Pictures Corporation,USA,Other,Mystery,52159536,Identity,R,25.04.2003 00:00,90,7.3,John Cusack,192146,Michael Cooney,2003,1,0.7386512,70,FALSE,2832,tt0309698,Identity,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",17.955897,The secret lies within.,Identity,"Mystery, Thriller",en,US,"prostitute, detective, nevada, prisoner, rain, motel, weather, multiple character, ex-cop, stranded, murder, serial killer, scream, storm, psychiatrist, convict, psychopathy, thunderstorm, rainstorm, split personality, mental disorders, murder mystery, dissociative identity disorder, isolated place",2003,-0.24005824821839206,-1.1671048502142152,1.21287449071264,1.2947523166501014,2.5491037739603324
9,30000000,New Line Cinema,USA,Other,Action,82622655,Freddy vs. Jason,R,15.08.2003 00:00,97,5.8,Robert Englund,95076,Wes Craven,2003,1,1.7540885,180,FALSE,6466,tt0329101,Freddy vs. Jason,"Evil dream-demon Freddy Krueger devises a plan to manipulate the unstoppable Jason Vorhees into hacking up the teenagers of Elm Street in an effort to make people remember the name Freddy Krueger, thus freeing him from limbo.",14.015739,Evil Will Battle Evil,Freddy vs. Jason,Horror,en,"CA, IT, US","murder, marijuana, teenager, bad dream",2003,-0.24005824821839206,-0.6571449521748441,-0.7043461745487122,0.05697385484532141,1.3881681798504124
10,24000000,DreamWorks,USA,Other,Comedy,75585093,Old School,R,21.02.2003 00:00,88,7.2,Luke Wilson,193885,Court Crandall,2003,1,2.149378875,210,FALSE,11635,tt0302886,Old School,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,16.195894,"All the fun of college, none of the education.",Old School,Comedy,en,US,"sex doll, streaking, mouth to mouth resuscitation",2003,-0.4554392929541897,-1.3128076782254638,1.085059779695217,1.316927002393158,2.03053316627398
11,76000000,Universal Pictures,USA,Other,Action,127154901,2 Fast 2 Furious,PG-13,6.06.2003 00:00,107,5.9,Paul Walker,211309,Gary Scott Thompson,2003,1,0.673090803,70,FALSE,584,tt0322259,2 Fast 2 Furious,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",2.32462,How Fast Do You Want It?,2 Fast 2 Furious,"Action, Crime, Thriller","en, es",US,"miami, car race, sports car, los angeles, car, automobile racing",2003,1.41119642808939,0.07136918788140015,-0.576531463531288,1.5391074074460733,-2.0565252009923793
